Cluster,Centroid,Avg_Distance_miles,Start_Lat,Start_Lng
0,"(np.float64(34.05112543910562), np.float64(-81.04478456453677))",7.126984529010344,34.05112543910562,-81.04478456453677
1,"(np.float64(35.08350957247528), np.float64(-81.70346431330428))",2.320274048178422,35.08350957247528,-81.70346431330428
2,"(np.float64(34.628124333333325), np.float64(-82.2474086))",0.22162378794333842,34.628124333333325,-82.2474086
3,"(np.float64(32.95258747379046), np.float64(-80.08636009209383))",6.346796052860305,32.95258747379046,-80.08636009209383
4,"(np.float64(34.141407572559366), np.float64(-80.7566745067558))",0.8055184969119265,34.141407572559366,-80.7566745067558
5,"(np.float64(34.183687011617806), np.float64(-79.78562868115685))",2.4294290610040044,34.183687011617806,-79.78562868115685
6,"(np.float64(34.265413333333335), np.float64(-81.17637966666668))",0.04864914618059637,34.265413333333335,-81.17637966666668
7,"(np.float64(32.83983104581492), np.float64(-79.8618013381891))",0.24832103559685337,32.83983104581492,-79.8618013381891
8,"(np.float64(34.64027314285714), np.float64(-82.93494971428571))",0.17623064626106702,34.64027314285714,-82.93494971428571
9,"(np.float64(34.8753407623537), np.float64(-82.23595643545073))",10.88656399560292,34.8753407623537,-82.23595643545073
10,"(np.float64(34.828748125000004), np.float64(-81.870843))",0.2017801450815972,34.828748125000004,-81.870843
11,"(np.float64(34.92268549199776), np.float64(-82.71680743875316))",0.2820586352360522,34.92268549199776,-82.71680743875316
12,"(np.float64(34.931765000000006), np.float64(-82.88531233333333))",0.03994644786770627,34.931765000000006,-82.88531233333333
13,"(np.float64(34.809101), np.float64(-80.631119))",0.0,34.809101,-80.631119
14,"(np.float64(34.6474225), np.float64(-83.0298195))",0.0398814685186243,34.6474225,-83.0298195
15,"(np.float64(35.00727316666667), np.float64(-82.13595366666667))",0.3547950977365486,35.00727316666667,-82.13595366666667
16,"(np.float64(32.91621682229854), np.float64(-80.09834213183431))",0.829322214027718,32.91621682229854,-80.09834213183431
17,"(np.float64(35.17366984501141), np.float64(-82.45329725744435))",0.07030456097072198,35.17366984501141,-82.45329725744435
18,"(np.float64(35.08750173333333), np.float64(-82.44734886666666))",0.20930089818511055,35.08750173333333,-82.44734886666666
19,"(np.float64(34.68532225), np.float64(-81.89122850000001))",0.15090077647271682,34.68532225,-81.89122850000001
20,"(np.float64(34.88820587179487), np.float64(-82.58987679487178))",0.6003509034008814,34.88820587179487,-82.58987679487178
21,"(np.float64(34.51921776855016), np.float64(-82.6828176117194))",2.838373805095206,34.51921776855016,-82.6828176117194
22,"(np.float64(34.64859046067416), np.float64(-82.46679104494382))",0.7722616739233775,34.64859046067416,-82.46679104494382
23,"(np.float64(33.2262149375), np.float64(-80.592803875))",0.30437224122524886,33.2262149375,-80.592803875
24,"(np.float64(32.792128126351734), np.float64(-80.0325648112442))",0.3656417308507877,32.792128126351734,-80.0325648112442
25,"(np.float64(33.85779676613664), np.float64(-81.0812613138897))",1.097533827848962,33.85779676613664,-81.0812613138897
26,"(np.float64(33.08643611162868), np.float64(-80.65187536930009))",0.5325017354604163,33.08643611162868,-80.65187536930009
27,"(np.float64(35.11939167656404), np.float64(-81.07807735890451))",0.7104107580927181,35.11939167656404,-81.07807735890451
28,"(np.float64(32.887563409774934), np.float64(-79.95074433703772))",1.7641434795946402,32.887563409774934,-79.95074433703772
29,"(np.float64(34.43908586843053), np.float64(-81.76002406664783))",0.3513047165962076,34.43908586843053,-81.76002406664783
30,"(np.float64(32.9860295), np.float64(-80.11297525))",0.13028003030432078,32.9860295,-80.11297525
31,"(np.float64(34.650923735822616), np.float64(-82.15868753430348))",1.3521334143978476,34.650923735822616,-82.15868753430348
32,"(np.float64(32.742329939503904), np.float64(-80.8368375657952))",1.0001291656267899,32.742329939503904,-80.8368375657952
